Trait1,Trait2,Category,Corr.100x100.Low,BF.100x100.Low,Corr.100x100.Mid,BF.100x100.Mid,Corr.100x100.High,BF.100x100.High,Corr.Astral,BF.Astral,BF.Astral.Untransformed,Corr.Astral.Untransformed,BF.SVD,Corr.SVD,BF.RAxML,Corr.RAxML,Contemporary.Corr,Contemporary.P
wood,fwc,trait-trait,-0.340655191,5.429258,-0.241702589,2.608516,-0.085275267,0.733732,-0.2211,4.4911,1.9495,-0.2437,3.1101,-0.2283,0.9143,-0.112,-0.354228488,0.006370634
wood,sd,trait-trait,-0.018904725,1.020324,0.135906441,0.214832,0.329731169,5.582916,0.1556,1.1763,5.3332,-0.3035,5.6501,-0.2386,2.7184,-0.2643,0.080257112,0.549251712
wood,nmass,trait-trait,-0.415097868,8.463958,-0.284649481,4.11499,-0.121879135,2.441836,-0.2987,4.4371,1.5178,0.2199,2.0134,0.1971,3.1748,0.2739,-0.145773641,0.27489605
wood,d13c,trait-trait,-0.13181022,-0.290216,0.147715409,0.544188,0.389619538,8.869316,0.1261,0.9709,5.4073,0.3374,4.5979,0.2829,-0.3325,0.1978,0.056012504,0.676224549
wood,cnratio,trait-trait,0.150066738,0.144316,0.276571257,3.769332,0.38676641,9.337308,0.3047,5.7104,7.6578,-0.3124,6.6518,-0.3303,4.9689,-0.314,0.152769439,0.252264764
wood,elev,trait-envi,-0.483357977,14.482822,-0.192935507,1.485434,0.155155785,1.542074,-0.3554,6.3552,2.5746,-0.2381,2.3007,-0.2336,1.5738,-0.1935,-0.230684998,0.081476454
wood,map,trait-envi,-0.440453986,11.064858,-0.175072566,1.119796,0.239913961,2.070098,-0.2295,2.2459,7.0499,0.3756,6.5419,0.3373,5.5777,0.3115,-0.362230332,0.005203039
wood,mat,trait-envi,-0.118831223,0.54596,0.2026474,1.53787,0.467132595,11.461512,0.3593,6.7369,1.5718,-0.1132,-0.4263,-0.0997,0.7292,-0.0746,0.12023144,0.368658103
wood,pet,trait-envi,-0.406687861,9.164014,-0.076571065,0.302392,0.311125161,5.101132,-0.0843,0.5183,0.0467,-0.0138,-0.4638,0.0069,0.5444,-0.0565,0.255934041,0.05248476
wood,rfl2mm,trait-envi,-0.35925989,7.852012,-0.001757786,0.57928,0.387172594,8.218732,0,-0.8022,2.4514,-0.2379,3.035,-0.2513,0.981,-0.1086,-0.214952214,0.105147476
wood,rflcv,trait-envi,-0.430096738,11.359172,-0.135339633,1.28722,0.255385246,3.337024,-0.1907,2.5931,0.2691,0.1962,1.4824,0.1656,-0.0041,0.1185,0.076560892,0.567852476
wood,summer,trait-envi,-0.474632162,11.92662,-0.202635645,2.733924,0.073205593,-0.712628,-0.268,4.5835,1.5883,-0.2573,4.3815,-0.294,2.2804,-0.2118,-0.272525685,0.038483582
wood,tmax,trait-envi,-0.261694278,3.909836,0.168186594,1.113678,0.515438568,14.875212,0.3673,7.5465,3.8561,-0.2463,8.3357,0.3631,6.4467,0.3319,0.252532876,0.055813263
wood,tmin,trait-envi,0.127192577,1.607796,0.327363418,6.57775,0.455021993,11.933688,0.3029,4.8844,5.4438,0.3286,4.7962,0.3496,3.2616,0.261,0.177964981,0.181374753
wood,tvar,trait-envi,-0.350573936,6.245148,-0.006244207,0.177932,0.396512357,8.368386,-0.0763,-0.4607,-0.5103,-0.0923,0.4745,-0.068,-0.5372,-0.0164,0.021355441,0.873577599
lma,lwr,trait-trait,-0.425925468,11.82819,-0.225101493,3.928588,-0.111975495,1.112898,-0.2208,3.6055,1.1977,-0.149,3.4382,-0.2469,0.7493,-0.0902,0.044425632,0.740543314
lma,fwc,trait-trait,-0.444801739,11.310026,-0.251006671,3.296708,-0.081410683,0.06181,-0.2367,2.8687,3.433,-0.2521,3.1424,-0.2261,-0.2337,-0.0658,-0.476656173,0.000155227
lma,sd,trait-trait,-0.024174684,-0.751148,0.161353103,0.66356,0.307544973,6.438,0.1675,1.4026,16.0714,-0.5084,16.6482,-0.5281,8.0103,-0.3977,-0.005739174,0.965895157
lma,nmass,trait-trait,-0.700998189,37.346534,-0.504130989,12.630794,-0.364238977,7.67053,-0.5324,17.2465,4.6216,0.2576,5.8981,0.2892,11.2862,0.4324,-0.70636653,5.84E-10
lma,d13c,trait-trait,-0.035519254,0.08787,0.241936303,3.166986,0.422887367,11.115232,0.2966,5.1347,21.4994,0.5582,14.9996,0.5142,7.484,0.3131,0.419417449,0.00104847
lma,cnratio,trait-trait,0.348271291,7.98619,0.489311242,14.41987,0.692196017,37.397776,0.4804,15.6382,1.2011,0.0046,-0.116,-0.0355,-0.4925,-0.0024,0.722300658,1.55E-10
lma,elev,trait-envi,-0.375744969,7.915118,-0.015140573,-0.214256,0.446619122,13.069926,-0.0262,-0.3492,-0.1146,-0.1017,1.7373,-0.1358,1.473,-0.1194,0.045320508,0.735505727
